n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
30 3 5 1 1 ras True True 0.02894 7.703 0.0 265.83 265.83 265.83
30 3 5 2 0 ras True True 0.34731 10.166 0.36 257.28 257.28 256.363
30 3 5 2 1 ras True True 1.62878 171.194 0.0 265.83 265.83 265.83
30 3 5 3 0 ras True True 0.27921 5.542 0.0 257.28 257.28 257.28
30 3 5 3 1 ras True True 2.64948 28.273 0.09 266.08 266.08 265.83
30 7 1 1 0 ras True True 0.02912 0.595 0.0 126.7 126.7 126.7
30 7 1 1 1 ras True True 0.0261 5.204 0.0 153.12 153.12 153.12
30 7 1 2 0 ras True True 0.33939 12.61 0.0 126.7 126.7 126.7
30 7 1 2 1 ras True True 1.57304 177.878 0.6 153.12 153.12 152.194
30 7 1 3 0 ras True True 0.27859 3.228 0.0 126.7 126.7 126.7
30 7 1 3 1 ras True True 2.60706 26.419 0.07 153.12 153.12 153.01
30 7 2 1 0 ras True True 0.02848 3.73 0.62 138.76 138.76 137.9
30 7 2 1 1 ras True True 0.02508 11.435 0.32 164.54 164.54 164.006
30 7 2 2 0 ras True True 0.33477 20.943 0.58 137.9 137.9 137.105
30 7 2 2 1 ras True True 1.6185 347.831 0.0 164.54 164.54 164.54
30 7 2 3 0 ras True True 0.2743 3.014 0.0 137.9 137.9 137.9
30 7 2 3 1 ras True True 3.36386 28.483 0.32 164.54 164.54 164.01
30 7 3 1 0 ras True True 0.02923 3.848 0.51 117.72 117.72 117.125
30 7 3 1 1 ras True True 0.02601 40.112 0.61 161.01 161.01 160.025
30 7 3 2 0 ras True True 0.34471 13.62 0.49 117.72 117.72 117.149
30 7 3 2 1 ras True False 1.5787 606.584 21.65 161.01 161.01 126.15
30 7 3 3 0 ras True True 0.26733 2.785 0.0 117.72 117.72 117.72
30 7 3 3 1 ras True True 2.59416 48.623 0.53 161.01 161.01 160.16
30 7 4 1 0 ras True True 0.02952 2.337 0.0 113.81 113.81 113.81
30 7 4 1 1 ras True True 0.02547 7.159 0.0 177.53 177.53 177.53
30 7 4 2 0 ras True True 0.33478 2.851 0.0 113.81 113.81 113.81
30 7 4 2 1 ras True False 1.63508 633.624 76.03 489.98 489.98 117.456
30 7 4 3 0 ras True True 0.27271 2.563 0.0 113.81 113.81 113.81
30 7 4 3 1 ras True True 2.62594 31.713 0.05 177.62 177.62 177.53
30 7 5 1 0 ras True True 0.02885 3.559 0.0 135.25 135.25 135.25
30 7 5 1 1 ras True True 0.02869 5.67 0.0 176.18 176.18 176.18
30 7 5 2 0 ras True True 0.33128 21.802 0.5 135.25 135.25 134.579
30 7 5 2 1 ras True False 1.60029 606.471 23.29 188.6 188.6 144.684
30 7 5 3 0 ras True True 0.2835 3.819 0.0 135.25 135.25 135.25
30 7 5 3 1 ras True True 2.70255 32.877 0.0 176.18 176.18 176.18
30 10 1 1 0 ras True True 0.02857 3.795 0.0 110.06 110.06 110.06
30 10 1 1 1 ras True True 0.02624 5.294 0.0 134.38 134.38 134.38
30 10 1 2 0 ras True True 0.33368 15.021 0.87 110.06 110.06 109.1
30 10 1 2 1 ras True True 1.59789 154.934 0.0 134.38 134.38 134.38
30 10 1 3 0 ras True True 0.27257 2.631 0.0 110.06 110.06 110.06
30 10 1 3 1 ras True True 2.65254 27.837 0.59 135.18 135.18 134.38
30 10 2 1 0 ras True True 0.02902 3.997 0.0 93.54 93.54 93.54
30 10 2 1 1 ras True True 0.02843 4.111 0.0 131.7 131.7 131.7
30 10 2 2 0 ras True True 0.3384 5.184 0.62 93.54 93.54 92.959
30 10 2 2 1 ras True False 1.56896 606.648 40.34 193.07 193.07 115.189
30 10 2 3 0 ras True True 0.27649 2.469 0.0 93.54 93.54 93.54
30 10 2 3 1 ras True True 2.69432 36.541 0.08 131.8 131.8 131.7
30 10 3 1 0 ras True True 0.02844 2.559 0.0 101.13 101.13 101.13
30 10 3 1 1 ras True True 0.0259 4.97 0.44 149.09 149.09 148.427
30 10 3 2 0 ras True True 0.33257 13.766 0.61 101.13 101.13 100.513
30 10 3 2 1 ras True False 1.59104 606.734 38.32 186.68 186.68 115.141
30 10 3 3 0 ras True True 0.27537 2.678 0.0 101.13 101.13 101.13
30 10 3 3 1 ras True True 2.59937 22.687 0.0 149.09 149.09 149.09
30 10 4 1 0 ras True True 0.02826 5.556 0.0 108.05 108.05 108.05
30 10 4 1 1 ras True True 0.02574 23.664 0.5 157.54 157.54 156.758
30 10 4 2 0 ras True True 0.33809 10.44 0.75 108.05 108.05 107.243
30 10 4 2 1 ras True False 1.57938 606.758 59.48 263.09 263.09 106.595
30 10 4 3 0 ras True True 0.2591 2.647 0.0 108.05 108.05 108.05
30 10 4 3 1 ras True True 2.69979 40.994 0.0 157.54 157.54 157.54
30 10 5 1 0 ras True True 0.02724 2.584 0.0 98.08 98.08 98.08
30 10 5 1 1 ras True True 0.02696 5.302 0.6 142.2 142.2 141.35
30 10 5 2 0 ras True True 0.32239 10.974 0.94 98.08 98.08 97.157
30 10 5 2 1 ras True False 1.6633 606.699 39.33 190.91 190.91 115.831
30 10 5 3 0 ras True True 0.26938 3.075 0.0 98.08 98.08 98.08
30 10 5 3 1 ras True True 2.69503 32.198 0.37 142.65 142.65 142.12
