n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
5 2 4 2 0 ras True True 0.00365 0.027 0.0 112.45 112.45 112.45
5 2 4 2 1 ras True True 0.00411 0.047 0.0 142.43 142.43 142.43
5 2 4 3 0 ras True True 0.00222 0.028 0.0 112.45 112.45 112.45
5 2 4 3 1 ras True True 0.00479 0.046 0.0 142.43 142.43 142.43
5 2 5 1 0 ras True True 0.00261 0.037 0.0 64.4 64.4 64.4
5 2 5 1 1 ras True True 0.00227 0.042 0.0 138.84 138.84 138.84
5 2 5 2 0 ras True True 0.00219 0.025 0.0 64.4 64.4 64.4
5 2 5 2 1 ras True True 0.0042 0.044 0.0 138.84 138.84 138.84
5 2 5 3 0 ras True True 0.00209 0.026 0.0 64.4 64.4 64.4
5 2 5 3 1 ras True True 0.00466 0.083 0.0 138.84 138.84 138.84
5 3 1 1 0 ras True True 0.0022 0.03 0.0 83.49 83.49 83.49
5 3 1 1 1 ras True True 0.00228 0.025 0.0 132.0 132.0 132.0
5 3 1 2 0 ras True True 0.00239 0.029 0.0 83.49 83.49 83.49
5 3 1 2 1 ras True True 0.00457 0.035 0.0 132.0 132.0 132.0
5 3 1 3 0 ras True True 0.00245 0.028 0.0 83.49 83.49 83.49
5 3 1 3 1 ras True True 0.00597 0.047 0.0 132.0 132.0 132.0
5 3 2 1 0 ras True True 0.0036 0.031 0.0 81.15 81.15 81.15
5 3 2 1 1 ras True True 0.00221 0.031 0.0 121.12 121.12 121.12
5 3 2 2 0 ras True True 0.00212 0.025 0.0 81.15 81.15 81.15
5 3 2 2 1 ras True True 0.00427 0.036 0.0 121.12 121.12 121.12
5 3 2 3 0 ras True True 0.00204 0.027 0.0 81.15 81.15 81.15
5 3 2 3 1 ras True True 0.00466 0.046 0.0 121.12 121.12 121.12
5 3 3 1 0 ras True True 0.00237 0.034 0.0 34.48 34.48 34.48
5 3 3 1 1 A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution. False False 0.00369 -1 -1 -1 -1 -1
5 3 3 2 0 ras True True 0.00228 0.026 0.0 34.48 34.48 34.48
5 3 3 2 1 A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution. False False 0.00429 -1 -1 -1 -1 -1
5 3 3 3 0 ras True True 0.00214 0.027 0.0 34.48 34.48 34.48
5 3 3 3 1 A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution. False False 0.00481 -1 -1 -1 -1 -1
5 3 4 1 0 ras True True 0.00226 0.036 0.0 66.61 66.61 66.61
5 3 4 1 1 A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution. False False 0.00338 -1 -1 -1 -1 -1
5 3 4 2 0 ras True True 0.00222 0.025 0.0 66.61 66.61 66.61
5 3 4 2 1 A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution. False False 0.00483 -1 -1 -1 -1 -1
5 3 4 3 0 ras True True 0.00267 0.025 0.0 66.61 66.61 66.61
5 3 4 3 1 A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution. False False 0.00465 -1 -1 -1 -1 -1
5 3 5 1 0 ras True True 0.00229 0.033 0.0 61.2 61.2 61.2
5 3 5 1 1 ras True True 0.00225 0.028 0.0 61.2 61.2 61.2
5 3 5 2 0 ras True True 0.00222 0.026 0.0 61.2 61.2 61.2
5 3 5 2 1 ras True True 0.00451 0.032 0.0 61.2 61.2 61.2
5 3 5 3 0 ras True True 0.00224 0.028 0.0 61.2 61.2 61.2
5 3 5 3 1 ras True True 0.00462 0.036 0.0 61.2 61.2 61.2
